,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
23,24,23,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,03810,,813.7,문학 > 한국문학 > 소설,1305,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg,https://data4library.kr/bookV?seq=5987427
24,25,25,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,03810,,813.62,문학 > 한국문학 > 소설,1297,https://bookthumb-phinf.pstatic.net/cover/071/902/07190270.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1938053
25,26,26,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,03810,,813.7,문학 > 한국문학 > 소설,1275,https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=3190615
26,27,27,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,03810,,813.62,문학 > 한국문학 > 소설,1254,http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,https://data4library.kr/bookV?seq=2037399
27,28,28,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,03830,,833.6,문학 > 일본문학 > 소설,1241,https://image.aladin.co.kr/product/27407/79/cover/k362732558_1.jpg,https://data4library.kr/bookV?seq=6036502
28,29,29,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,03810,,813.7,문학 > 한국문학 > 소설,1239,https://image.aladin.co.kr/product/28685/95/cover/k362836265_1.jpg,https://data4library.kr/bookV?seq=6389692
29,30,30,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,03810,,813.7,문학 > 한국문학 > 소설,1187,https://image.aladin.co.kr/product/28170/22/cover/k032835560_1.jpg,https://data4library.kr/bookV?seq=6322276
30,31,31,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,2022,9788901260716,03320,,325.211,사회과학 > 경제학 > 경영관리,1183,https://image.aladin.co.kr/product/29521/63/cover/8901260719_1.jpg,https://data4library.kr/bookV?seq=6468069
31,32,32,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,03900,,909,"역사 > 역사 > 세계사, 세계문화사",1162,https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721,https://data4library.kr/bookV?seq=3027835
32,33,33,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,03810,,813.6,문학 > 한국문학 > 소설,1135,https://bookthumb-phinf.pstatic.net/cover/033/094/03309417.jpg?type=m1&udate=20180609,https://data4library.kr/bookV?seq=2155671
33,34,34,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,1124,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg,https://data4library.kr/bookV?seq=5368180
34,35,35,일의 기쁨과 슬픔 :장류진 소설집 ,지은이: 장류진,창비,2019,9788936438036,03810,,813.7,문학 > 한국문학 > 소설,1110,https://image.aladin.co.kr/product/21292/13/cover/8936438034_1.jpg,https://data4library.kr/bookV?seq=5508125
35,36,36,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,9791191043754,03830,,833.6,문학 > 일본문학 > 소설,1096,https://image.aladin.co.kr/product/29442/51/cover/k762837520_1.jpg,https://data4library.kr/bookV?seq=6460241
36,37,37,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,03810,,813.7,문학 > 한국문학 > 소설,1087,https://image.aladin.co.kr/product/15133/51/cover/8954651828_1.jpg,https://data4library.kr/bookV?seq=3774162
37,38,38,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,03810,2,813.7,문학 > 한국문학 > 소설,1073,https://image.aladin.co.kr/product/29858/98/cover/k432838027_1.jpg,https://data4library.kr/bookV?seq=6529613
38,39,39,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,03810,,813.7,문학 > 한국문학 > 소설,1072,https://image.aladin.co.kr/product/30048/51/cover/8936438832_1.jpg,https://data4library.kr/bookV?seq=6551957
39,40,39,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,03810,,813.7,문학 > 한국문학 > 소설,1072,http://image.aladin.co.kr/product/14224/40/cover/k872532537_1.jpg,https://data4library.kr/bookV?seq=3742540
